sample_id,proposed_label,final_label,source_file,unit_name,start_line,end_line,annotator
go_cand_037,god_class,tidak,scikit-learn\sklearn\neural_network\_multilayer_perceptron.py,BaseMultilayerPerceptron,56,761,erick
go_cand_038,god_class,god_class,django\django\contrib\admin\sites.py,AdminSite,37,590,erick
go_cand_039,god_class,tidak,django\django\forms\forms.py,BaseForm,56,530,erick
go_cand_040,god_class,tidak,scikit-learn\sklearn\svm\_base.py,BaseLibSVM,65,683,erick
go_cand_041,god_class,tidak,scrapy\scrapy\settings\__init__.py,BaseSettings,88,526,erick
go_cand_042,god_class,tidak,django\django\db\models\fields\related_descriptors.py,ManyRelatedManager,986,1504,erick
go_cand_043,god_class,tidak,django\django\contrib\sessions\backends\base.py,SessionBase,33,365,erick
go_cand_044,god_class,god_class,django\django\contrib\admin\options.py,BaseModelAdmin,117,611,erick
go_cand_045,god_class,skip,django\django\db\backends\postgresql\operations.py,DatabaseOperations,25,404,erick
go_cand_046,god_class,tidak,django\django\core\cache\backends\base.py,BaseCache,56,388,erick
go_cand_047,god_class,tidak,flask\src\flask\sansio\blueprints.py,Blueprint,119,632,erick
go_cand_048,god_class,tidak,scikit-learn\sklearn\mixture\_base.py,BaseMixture,43,560,erick
go_cand_049,god_class,skip,django\django\contrib\gis\utils\layermapping.py,LayerMapping,58,724,erick
go_cand_050,god_class,skip,django\django\core\management\commands\makemessages.py,Command,208,783,erick
go_cand_051,god_class,tidak,django\django\contrib\gis\gdal\raster\source.py,GDALRaster,70,541,erick
go_cand_052,god_class,tidak,scikit-learn\sklearn\linear_model\_linear_loss.py,LinearModelLoss,10,671,erick
go_cand_053,god_class,tidak,django\django\http\request.py,HttpRequest,51,423,erick
go_cand_054,god_class,tidak,django\django\db\backends\sqlite3\schema.py,DatabaseSchemaEditor,13,578,erick
go_cand_055,god_class,tidak,scikit-learn\sklearn\tree\_classes.py,BaseDecisionTree,95,690,erick
go_cand_056,god_class,tidak,django\django\contrib\gis\gdal\srs.py,SpatialReference,44,346,erick
go_cand_057,god_class,tidak,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\grower.py,TreeGrower,138,720,erick
go_cand_058,god_class,tidak,django\django\contrib\admin\checks.py,ModelAdminChecks,790,1228,erick
go_cand_059,god_class,tidak,scikit-learn\sklearn\ensemble\_gb.py,GradientBoostingClassifier,1117,1719,erick
go_cand_060,god_class,tidak,scikit-learn\sklearn\ensemble\_weight_boosting.py,AdaBoostClassifier,339,960,erick
go_cand_061,god_class,tidak,django\django\db\models\expressions.py,BaseExpression,169,477,erick
go_cand_062,god_class,tidak,django\django\db\backends\mysql\features.py,DatabaseFeatures,7,355,erick
go_cand_063,god_class,tidak,scikit-learn\sklearn\base.py,BaseEstimator,152,700,erick
go_cand_064,god_class,skip,django\django\contrib\admin\views\main.py,ChangeList,54,585,erick
go_cand_065,god_class,skip,django\django\db\models\fields\related.py,ForeignObject,513,887,erick
go_cand_066,god_class,tidak,scikit-learn\sklearn\decomposition\_nmf.py,MiniBatchNMF,1804,2443,erick
go_cand_067,god_class,tidak,scikit-learn\sklearn\feature_extraction\text.py,CountVectorizer,929,1492,erick
go_cand_068,god_class,skip,django\django\db\models\fields\related.py,RelatedField,89,510,erick
go_cand_069,god_class,tidak,scikit-learn\sklearn\decomposition\_pca.py,PCA,122,747,erick
go_cand_070,god_class,tidak,scikit-learn\sklearn\discriminant_analysis.py,LinearDiscriminantAnalysis,177,755,erick
go_cand_071,god_class,tidak,scikit-learn\sklearn\manifold\_t_sne.py,TSNE,562,1174,erick
go_cand_072,god_class,tidak,scikit-learn\sklearn\decomposition\_dict_learning.py,MiniBatchDictionaryLearning,1706,2301,erick
go_cand_073,god_class,tidak,scikit-learn\sklearn\linear_model\_stochastic_gradient.py,SGDOneClassSVM,2043,2605,erick
go_cand_074,god_class,tidak,scikit-learn\sklearn\linear_model\_ridge.py,_RidgeGCV,1602,2127,erick
go_cand_075,god_class,skip,click\src\click\core.py,Parameter,2012,2446,erick
go_cand_076,god_class,god_class,scrapy\scrapy\core\engine.py,ExecutionEngine,85,478,erick
go_cand_077,god_class,tidak,scikit-learn\sklearn\preprocessing\_target_encoder.py,TargetEncoder,18,531,erick
go_cand_078,god_class,tidak,scikit-learn\sklearn\neighbors\_lof.py,LocalOutlierFactor,20,516,erick
go_cand_079,god_class,tidak,scikit-learn\sklearn\pipeline.py,FeatureUnion,1322,1728,erick
go_cand_080,god_class,tidak,scikit-learn\sklearn\impute\_base.py,SimpleImputer,146,713,erick
go_cand_081,god_class,tidak,click\src\click\core.py,Option,2449,2966,erick
go_cand_082,god_class,tidak,scikit-learn\sklearn\decomposition\_kernel_pca.py,KernelPCA,32,572,erick
go_cand_083,god_class,tidak,django\django\contrib\gis\geos\mutable_list.py,ListMixin,15,314,erick
go_cand_084,god_class,tidak,scikit-learn\sklearn\ensemble\_forest.py,BaseForest,211,721,erick
go_cand_085,god_class,tidak,scrapy\scrapy\commands\parse.py,Command,24,354,erick
go_cand_086,god_class,god_class,requests\requests\sessions.py,Session,357,818,erick
go_cand_087,god_class,tidak,django\django\db\models\deletion.py,Collector,96,522,erick
go_cand_088,god_class,tidak,django\django\contrib\gis\geos\coordseq.py,GEOSCoordSeq,15,220,erick
go_cand_089,god_class,tidak,django\django\forms\boundfield.py,BoundField,14,302,erick
go_cand_090,god_class,tidak,django\django\core\management\commands\makemigrations.py,Command,26,515,erick
go_cand_091,god_class,tidak,django\django\db\backends\postgresql\schema.py,DatabaseSchemaEditor,7,388,erick
go_cand_092,god_class,tidak,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\gradient_boosting.py,HistGradientBoostingClassifier,1801,2270,erick
go_cand_093,god_class,tidak,django\django\db\models\fields\related.py,ForeignKey,899,1191,erick
go_cand_094,god_class,tidak,django\django\apps\registry.py,Apps,13,433,erick
go_cand_095,god_class,tidak,django\django\urls\resolvers.py,URLResolver,456,828,erick
go_cand_096,god_class,tidak,django\django\core\management\base.py,BaseCommand,183,606,erick
go_cand_097,god_class,tidak,scikit-learn\sklearn\ensemble\_iforest.py,IsolationForest,28,526,erick
go_cand_098,god_class,tidak,scrapy\scrapy\core\http2\protocol.py,H2ClientProtocol,76,422,erick
go_cand_099,god_class,tidak,requests\requests\models.py,Response,641,1034,erick
da_cand_000,data_class,tidak,scikit-learn\sklearn\_loss\link.py,Interval,17,56,erick
da_cand_002,data_class,data_class,django\django\contrib\sitemaps\views.py,SitemapIndexItem,17,28,erick
da_cand_003,data_class,tidak,django\django\contrib\gis\admin\options.py,OLMap,123,167,erick
da_cand_004,data_class,tidak,scikit-learn\sklearn\cluster\_optics.py,OPTICS,35,391,erick
da_cand_005,data_class,tidak,scikit-learn\sklearn\covariance\_graph_lasso.py,GraphicalLassoCV,724,1110,erick
da_cand_006,data_class,tidak,scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,QuotedString,2811,2945,erick
da_cand_007,data_class,tidak,scikit-learn\sklearn\svm\_classes.py,LinearSVC,43,363,erick
da_cand_008,data_class,tidak,scikit-learn\sklearn\linear_model\_theil_sen.py,TheilSenRegressor,208,456,erick
da_cand_009,data_class,tidak,scikit-learn\sklearn\covariance\_graph_lasso.py,GraphicalLasso,404,592,erick
da_cand_010,data_class,tidak,scikit-learn\sklearn\feature_selection\_rfe.py,RFECV,471,792,erick
da_cand_011,data_class,tidak,scikit-learn\sklearn\linear_model\_coordinate_descent.py,MultiTaskElasticNet,2301,2546,erick
da_cand_012,data_class,tidak,django\django\contrib\contenttypes\admin.py,GenericInlineModelAdmin,91,135,erick
da_cand_013,data_class,tidak,scikit-learn\sklearn\linear_model\_ridge.py,_BaseRidgeCV,2130,2251,erick
da_cand_016,data_class,tidak,scikit-learn\sklearn\linear_model\_glm\_newton_solver.py,NewtonCholeskySolver,436,525,erick
da_cand_017,data_class,tidak,scikit-learn\sklearn\svm\_classes.py,LinearSVR,366,622,erick
da_cand_015,data_class,tidak,scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Word,2579,2735,erick
da_cand_014,data_class,tidak,flask\src\flask\sessions.py,SecureCookieSessionInterface,288,379,erick
da_cand_018,data_class,tidak,django\django\views\generic\dates.py,BaseDayArchiveView,565,603,erick
da_cand_019,data_class,tidak,scikit-learn\sklearn\decomposition\_sparse_pca.py,MiniBatchSparsePCA,338,551,erick
da_cand_020,data_class,tidak,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\grower.py,TreeNode,32,135,erick
da_cand_021,data_class,tidak,scikit-learn\sklearn\decomposition\_sparse_pca.py,SparsePCA,158,335,erick
da_cand_022,data_class,tidak,scikit-learn\sklearn\linear_model\_huber.py,HuberRegressor,128,352,erick
da_cand_023,data_class,tidak,scikit-learn\sklearn\linear_model\_ridge.py,_BaseRidge,812,945,erick
da_cand_024,data_class,tidak,scikit-learn\sklearn\linear_model\_omp.py,OrthogonalMatchingPursuitCV,870,1097,erick
