sample_id,proposed_label,source_file,unit_name,start_line,end_line,score,metrics,final_label
go_cand_032,god_class,django\django\db\backends\mysql\operations.py,DatabaseOperations,13,464,741,"method=38,sloc=361",
go_cand_033,god_class,scikit-learn\sklearn\preprocessing\_encoders.py,OneHotEncoder,457,1231,731,"method=11,sloc=621",
go_cand_034,god_class,django\django\db\backends\oracle\creation.py,DatabaseCreation,12,464,726,"method=32,sloc=406",
go_cand_035,god_class,django\django\db\backends\sqlite3\operations.py,DatabaseOperations,18,434,724,"method=39,sloc=334",
go_cand_036,god_class,flask\src\flask\sansio\scaffold.py,Scaffold,52,698,708,"method=27,sloc=438",
go_cand_037,god_class,scikit-learn\sklearn\neural_network\_multilayer_perceptron.py,BaseMultilayerPerceptron,56,761,698,"method=15,sloc=548",
go_cand_038,god_class,django\django\contrib\admin\sites.py,AdminSite,37,590,694,"method=26,sloc=434",
go_cand_039,god_class,django\django\forms\forms.py,BaseForm,56,530,686,"method=29,sloc=396",
go_cand_040,god_class,scikit-learn\sklearn\svm\_base.py,BaseLibSVM,65,683,679,"method=18,sloc=499",
go_cand_041,god_class,scrapy\scrapy\settings\__init__.py,BaseSettings,88,526,678,"method=32,sloc=358",
go_cand_042,god_class,django\django\db\models\fields\related_descriptors.py,ManyRelatedManager,986,1504,677,"method=26,sloc=417",
go_cand_043,god_class,django\django\contrib\sessions\backends\base.py,SessionBase,33,365,669,"method=40,sloc=269",
go_cand_044,god_class,django\django\contrib\admin\options.py,BaseModelAdmin,117,611,668,"method=27,sloc=398",
go_cand_045,god_class,django\django\db\backends\postgresql\operations.py,DatabaseOperations,25,404,662,"method=37,sloc=292",
go_cand_046,god_class,django\django\core\cache\backends\base.py,BaseCache,56,388,654,"method=38,sloc=274",
go_cand_047,god_class,flask\src\flask\sansio\blueprints.py,Blueprint,119,632,644,"method=22,sloc=424",
go_cand_048,god_class,scikit-learn\sklearn\mixture\_base.py,BaseMixture,43,560,640,"method=22,sloc=420",
go_cand_049,god_class,django\django\contrib\gis\utils\layermapping.py,LayerMapping,58,724,636,"method=14,sloc=496",
go_cand_050,god_class,django\django\core\management\commands\makemessages.py,Command,208,783,633,"method=11,sloc=523",
go_cand_051,god_class,django\django\contrib\gis\gdal\raster\source.py,GDALRaster,70,541,624,"method=26,sloc=364",
go_cand_052,god_class,scikit-learn\sklearn\linear_model\_linear_loss.py,LinearModelLoss,10,671,624,"method=10,sloc=524",
go_cand_053,god_class,django\django\http\request.py,HttpRequest,51,423,617,"method=32,sloc=297",
go_cand_054,god_class,django\django\db\backends\sqlite3\schema.py,DatabaseSchemaEditor,13,578,606,"method=16,sloc=446",
go_cand_055,god_class,scikit-learn\sklearn\tree\_classes.py,BaseDecisionTree,95,690,600,"method=13,sloc=470",
go_cand_056,god_class,django\django\contrib\gis\gdal\srs.py,SpatialReference,44,346,599,"method=35,sloc=249",
go_cand_057,god_class,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\grower.py,TreeGrower,138,720,599,"method=11,sloc=489",
go_cand_058,god_class,django\django\contrib\admin\checks.py,ModelAdminChecks,790,1228,597,"method=20,sloc=397",
go_cand_059,god_class,scikit-learn\sklearn\ensemble\_gb.py,GradientBoostingClassifier,1117,1719,594,"method=10,sloc=494",
go_cand_060,god_class,scikit-learn\sklearn\ensemble\_weight_boosting.py,AdaBoostClassifier,339,960,590,"method=13,sloc=460",
go_cand_061,god_class,django\django\db\models\expressions.py,BaseExpression,169,477,589,"method=33,sloc=259",
go_cand_062,god_class,django\django\db\backends\mysql\features.py,DatabaseFeatures,7,355,586,"method=28,sloc=306",
go_cand_063,god_class,scikit-learn\sklearn\base.py,BaseEstimator,152,700,582,"method=16,sloc=422",
go_cand_064,god_class,django\django\contrib\admin\views\main.py,ChangeList,54,585,580,"method=15,sloc=430",
go_cand_065,god_class,django\django\db\models\fields\related.py,ForeignObject,513,887,580,"method=26,sloc=320",
go_cand_066,god_class,scikit-learn\sklearn\decomposition\_nmf.py,MiniBatchNMF,1804,2443,569,"method=9,sloc=479",
go_cand_067,god_class,scikit-learn\sklearn\feature_extraction\text.py,CountVectorizer,929,1492,568,"method=10,sloc=468",
go_cand_068,god_class,django\django\db\models\fields\related.py,RelatedField,89,510,560,"method=21,sloc=350",
go_cand_069,god_class,scikit-learn\sklearn\decomposition\_pca.py,PCA,122,747,560,"method=9,sloc=470",
go_cand_070,god_class,scikit-learn\sklearn\discriminant_analysis.py,LinearDiscriminantAnalysis,177,755,559,"method=10,sloc=459",
go_cand_071,god_class,scikit-learn\sklearn\manifold\_t_sne.py,TSNE,562,1174,558,"method=8,sloc=478",
go_cand_072,god_class,scikit-learn\sklearn\decomposition\_dict_learning.py,MiniBatchDictionaryLearning,1706,2301,557,"method=10,sloc=457",
go_cand_073,god_class,scikit-learn\sklearn\linear_model\_stochastic_gradient.py,SGDOneClassSVM,2043,2605,557,"method=10,sloc=457",
go_cand_074,god_class,scikit-learn\sklearn\linear_model\_ridge.py,_RidgeGCV,1602,2127,553,"method=15,sloc=403",
go_cand_075,god_class,click\src\click\core.py,Parameter,2012,2446,549,"method=21,sloc=339",
go_cand_076,god_class,scrapy\scrapy\core\engine.py,ExecutionEngine,85,478,538,"method=20,sloc=338",
go_cand_077,god_class,scikit-learn\sklearn\preprocessing\_target_encoder.py,TargetEncoder,18,531,535,"method=10,sloc=435",
go_cand_078,god_class,scikit-learn\sklearn\neighbors\_lof.py,LocalOutlierFactor,20,516,530,"method=13,sloc=400",
go_cand_079,god_class,scikit-learn\sklearn\pipeline.py,FeatureUnion,1322,1728,529,"method=21,sloc=319",
go_cand_080,god_class,scikit-learn\sklearn\impute\_base.py,SimpleImputer,146,713,528,"method=9,sloc=438",
go_cand_081,god_class,click\src\click\core.py,Option,2449,2966,524,"method=12,sloc=404",
go_cand_082,god_class,scikit-learn\sklearn\decomposition\_kernel_pca.py,KernelPCA,32,572,521,"method=10,sloc=421",
go_cand_083,god_class,django\django\contrib\gis\geos\mutable_list.py,ListMixin,15,314,520,"method=29,sloc=230",
go_cand_084,god_class,scikit-learn\sklearn\ensemble\_forest.py,BaseForest,211,721,519,"method=12,sloc=399",
go_cand_085,god_class,scrapy\scrapy\commands\parse.py,Command,24,354,512,"method=23,sloc=282",
go_cand_086,god_class,requests\requests\sessions.py,Session,357,818,503,"method=19,sloc=313",
go_cand_087,god_class,django\django\db\models\deletion.py,Collector,96,522,502,"method=15,sloc=352",
go_cand_088,god_class,django\django\contrib\gis\geos\coordseq.py,GEOSCoordSeq,15,220,501,"method=34,sloc=161",
go_cand_089,god_class,django\django\forms\boundfield.py,BoundField,14,302,499,"method=25,sloc=249",
go_cand_090,god_class,django\django\core\management\commands\makemigrations.py,Command,26,515,498,"method=8,sloc=418",
go_cand_091,god_class,django\django\db\backends\postgresql\schema.py,DatabaseSchemaEditor,7,388,498,"method=17,sloc=328",
go_cand_092,god_class,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\gradient_boosting.py,HistGradientBoostingClassifier,1801,2270,497,"method=10,sloc=397",
go_cand_093,god_class,django\django\db\models\fields\related.py,ForeignKey,899,1191,496,"method=24,sloc=256",
go_cand_094,god_class,django\django\apps\registry.py,Apps,13,433,492,"method=20,sloc=292",
go_cand_095,god_class,django\django\urls\resolvers.py,URLResolver,456,828,492,"method=17,sloc=322",
go_cand_096,god_class,django\django\core\management\base.py,BaseCommand,183,606,485,"method=11,sloc=375",
go_cand_097,god_class,scikit-learn\sklearn\ensemble\_iforest.py,IsolationForest,28,526,483,"method=11,sloc=373",
go_cand_098,god_class,scrapy\scrapy\core\http2\protocol.py,H2ClientProtocol,76,422,483,"method=23,sloc=253",
go_cand_099,god_class,requests\requests\models.py,Response,641,1034,481,"method=22,sloc=261",
go_cand_100,god_class,scikit-learn\sklearn\_loss\loss.py,BaseLoss,66,508,481,"method=11,sloc=371",
go_cand_101,god_class,django\django\contrib\gis\db\backends\postgis\operations.py,PostGISOperations,115,423,479,"method=23,sloc=249",
go_cand_102,god_class,django\django\db\backends\base\creation.py,BaseDatabaseCreation,17,381,479,"method=20,sloc=279",
go_cand_103,god_class,requests\requests\adapters.py,HTTPAdapter,100,538,479,"method=13,sloc=349",
go_cand_104,god_class,django\django\db\models\sql\where.py,WhereNode,19,311,476,"method=24,sloc=236",
go_cand_105,god_class,scikit-learn\sklearn\neural_network\_multilayer_perceptron.py,MLPClassifier,764,1254,469,"method=9,sloc=379",
go_cand_106,god_class,django\django\db\backends\oracle\introspection.py,DatabaseIntrospection,17,411,466,"method=9,sloc=376",
go_cand_107,god_class,scikit-learn\sklearn\gaussian_process\kernels.py,Kernel,156,464,465,"method=20,sloc=265",
go_cand_108,god_class,scikit-learn\sklearn\neural_network\_rbm.py,BernoulliRBM,29,453,465,"method=12,sloc=345",
go_cand_109,god_class,django\django\db\backends\mysql\base.py,DatabaseWrapper,100,444,464,"method=18,sloc=284",
go_cand_110,god_class,scikit-learn\sklearn\mixture\_gaussian_mixture.py,GaussianMixture,510,912,459,"method=13,sloc=329",
go_cand_111,god_class,django\django\db\models\fields\reverse_related.py,ForeignObjectRel,20,244,457,"method=29,sloc=167",
go_cand_112,god_class,requests\requests\cookies.py,RequestsCookieJar,176,437,454,"method=24,sloc=214",
go_cand_113,god_class,django\django\forms\models.py,BaseModelFormSet,648,997,450,"method=18,sloc=270",
go_cand_114,god_class,scikit-learn\sklearn\feature_extraction\_dict_vectorizer.py,DictVectorizer,18,452,450,"method=10,sloc=350",
go_cand_115,god_class,django\django\http\response.py,HttpResponseBase,102,361,449,"method=26,sloc=189",
go_cand_116,god_class,django\django\core\management\commands\loaddata.py,Command,44,418,448,"method=13,sloc=318",
go_cand_117,god_class,scikit-learn\sklearn\preprocessing\_data.py,PowerTransformer,3092,3511,447,"method=13,sloc=317",
go_cand_118,god_class,scikit-learn\sklearn\cluster\_kmeans.py,_BaseKMeans,839,1210,445,"method=14,sloc=305",
go_cand_119,god_class,click\src\click\_termui_impl.py,ProgressBar,37,357,439,"method=19,sloc=249",
go_cand_120,god_class,scikit-learn\sklearn\feature_selection\_from_model.py,SelectFromModel,93,522,439,"method=9,sloc=349",
go_cand_121,god_class,scikit-learn\sklearn\multiclass.py,OneVsRestClassifier,199,626,438,"method=10,sloc=338",
go_cand_122,god_class,django\django\db\backends\postgresql\base.py,DatabaseWrapper,89,440,437,"method=15,sloc=287",
go_cand_123,god_class,django\django\db\backends\sqlite3\introspection.py,DatabaseIntrospection,59,434,435,"method=11,sloc=325",
go_cand_124,god_class,scikit-learn\sklearn\preprocessing\_data.py,QuantileTransformer,2519,2945,435,"method=10,sloc=335",
go_cand_125,god_class,scrapy\scrapy\core\http2\stream.py,Stream,75,492,435,"method=14,sloc=295",
go_cand_126,god_class,django\django\db\migrations\loader.py,MigrationLoader,20,385,433,"method=13,sloc=303",
go_cand_127,god_class,django\django\db\migrations\executor.py,MigrationExecutor,10,410,432,"method=11,sloc=322",
go_cand_128,god_class,django\django\contrib\staticfiles\management\commands\collectstatic.py,Command,13,379,431,"method=12,sloc=311",
go_cand_129,god_class,click\src\click\core.py,Command,1160,1469,429,"method=18,sloc=249",
go_cand_130,god_class,scikit-learn\sklearn\feature_selection\_rfe.py,RFE,68,468,429,"method=12,sloc=309",
go_cand_131,god_class,django\django\core\management\templates.py,TemplateCommand,25,407,428,"method=10,sloc=328",
go_cand_132,god_class,scikit-learn\sklearn\cluster\_bisect_k_means.py,BisectingKMeans,76,529,427,"method=8,sloc=347",
go_cand_133,god_class,django\django\db\migrations\graph.py,MigrationGraph,63,333,426,"method=19,sloc=236",
go_cand_134,god_class,scikit-learn\sklearn\ensemble\_bagging.py,BaggingClassifier,541,970,425,"method=9,sloc=335",
go_cand_135,god_class,scikit-learn\sklearn\decomposition\_fastica.py,FastICA,368,795,424,"method=8,sloc=344",
go_cand_136,god_class,scikit-learn\sklearn\preprocessing\_function_transformer.py,FunctionTransformer,42,431,424,"method=11,sloc=314",
go_cand_137,god_class,django\django\contrib\staticfiles\storage.py,HashedFilesMixin,47,446,423,"method=12,sloc=303",
go_cand_138,god_class,scikit-learn\sklearn\preprocessing\_encoders.py,_BaseEncoder,23,454,423,"method=9,sloc=333",
go_cand_139,god_class,scrapy\scrapy\core\scraper.py,Scraper,100,392,423,"method=15,sloc=273",
go_cand_140,god_class,scikit-learn\sklearn\feature_extraction\text.py,_VectorizerMixin,207,563,417,"method=13,sloc=287",
go_cand_141,god_class,scikit-learn\sklearn\feature_extraction\text.py,TfidfVectorizer,1757,2166,416,"method=8,sloc=336",
go_cand_142,god_class,scikit-learn\sklearn\cluster\_birch.py,Birch,361,741,413,"method=11,sloc=303",
go_cand_143,god_class,scrapy\scrapy\extensions\feedexport.py,FeedExporter,401,694,412,"method=16,sloc=252",
go_cand_144,god_class,scrapy\scrapy\http\response\text.py,TextResponse,35,286,412,"method=19,sloc=222",
go_cand_145,god_class,scikit-learn\sklearn\ensemble\_stacking.py,StackingClassifier,393,772,406,"method=9,sloc=316",
go_cand_146,god_class,django\django\db\migrations\operations\models.py,CreateModel,41,371,405,"method=9,sloc=315",
go_cand_147,god_class,django\django\contrib\contenttypes\fields.py,GenericRelatedObjectManager,566,801,403,"method=22,sloc=183",
go_cand_148,god_class,scikit-learn\sklearn\decomposition\_factor_analysis.py,FactorAnalysis,42,436,401,"method=9,sloc=311",
go_cand_149,god_class,django\django\contrib\postgres\fields\array.py,ArrayField,18,235,393,"method=20,sloc=193",
go_cand_150,god_class,django\django\db\models\fields\related_descriptors.py,RelatedManager,640,926,393,"method=17,sloc=223",
go_cand_151,god_class,scikit-learn\sklearn\linear_model\_glm\_newton_solver.py,NewtonSolver,21,433,393,"method=9,sloc=303",
go_cand_152,god_class,scikit-learn\sklearn\linear_model\_stochastic_gradient.py,BaseSGDRegressor,1380,1745,393,"method=8,sloc=313",
go_cand_153,god_class,django\django\core\handlers\base.py,BaseHandler,20,365,392,"method=10,sloc=292",
go_cand_154,god_class,scikit-learn\sklearn\utils\_metadata_requests.py,MetadataRouter,767,1099,389,"method=12,sloc=269",
go_cand_155,god_class,scrapy\scrapy\pipelines\media.py,MediaPipeline,25,275,388,"method=20,sloc=188",
go_cand_156,god_class,django\django\contrib\gis\gdal\layer.py,Layer,21,234,387,"method=21,sloc=177",
go_cand_157,god_class,click\src\click\core.py,BaseCommand,834,1157,386,"method=14,sloc=246",
go_cand_158,god_class,scikit-learn\sklearn\svm\_base.py,BaseSVC,686,993,383,"method=12,sloc=263",
go_cand_159,god_class,scrapy\scrapy\http\response\__init__.py,Response,18,255,382,"method=17,sloc=212",
go_cand_160,god_class,django\django\contrib\gis\measure.py,MeasureBase,52,247,380,"method=21,sloc=170",
go_cand_161,god_class,scikit-learn\sklearn\impute\_base.py,MissingIndicator,716,1075,379,"method=9,sloc=289",
go_cand_162,god_class,django\django\db\backends\mysql\introspection.py,DatabaseIntrospection,24,349,377,"method=8,sloc=297",
go_cand_163,god_class,django\django\db\backends\mysql\schema.py,DatabaseSchemaEditor,6,243,377,"method=19,sloc=187",
go_cand_164,god_class,django\django\views\debug.py,ExceptionReporter,292,587,377,"method=12,sloc=257",
go_cand_165,god_class,scrapy\scrapy\core\scheduler.py,Scheduler,127,371,376,"method=16,sloc=216",
go_cand_166,god_class,scikit-learn\sklearn\multiclass.py,OneVsOneClassifier,668,1025,373,"method=8,sloc=293",
go_cand_167,god_class,scrapy\scrapy\core\spidermw.py,SpiderMiddlewareManager,51,346,364,"method=11,sloc=254",
go_cand_168,god_class,django\django\middleware\csrf.py,CsrfViewMiddleware,170,488,357,"method=14,sloc=217",
go_cand_169,god_class,scikit-learn\sklearn\isotonic.py,IsotonicRegression,171,498,357,"method=12,sloc=237",
go_cand_170,god_class,scikit-learn\sklearn\ensemble\_stacking.py,_BaseStacking,64,390,356,"method=10,sloc=256",
go_cand_171,god_class,scikit-learn\sklearn\ensemble\_voting.py,VotingClassifier,160,495,352,"method=8,sloc=272",
go_cand_172,god_class,scikit-learn\sklearn\naive_bayes.py,CategoricalNB,1222,1515,352,"method=11,sloc=242",
go_cand_173,god_class,django\django\contrib\gis\gdal\raster\band.py,GDALBand,17,254,351,"method=16,sloc=191",
go_cand_174,god_class,django\django\utils\datastructures.py,MultiValueDict,49,217,351,"method=21,sloc=141",
go_cand_175,god_class,django\django\contrib\admin\tests.py,AdminSeleniumTestCase,19,233,350,"method=17,sloc=180",
go_cand_176,god_class,requests\requests\models.py,PreparedRequest,314,638,349,"method=13,sloc=219",
go_cand_177,god_class,django\django\contrib\contenttypes\fields.py,GenericForeignKey,25,268,348,"method=14,sloc=208",
go_cand_178,god_class,click\src\click\core.py,MultiCommand,1472,1778,343,"method=12,sloc=223",
go_cand_179,god_class,django\django\contrib\contenttypes\fields.py,GenericRelation,294,535,342,"method=15,sloc=192",
go_cand_180,god_class,flask\src\flask\config.py,Config,50,370,342,"method=9,sloc=252",
go_cand_181,god_class,django\django\contrib\gis\db\backends\spatialite\operations.py,SpatiaLiteOperations,24,227,339,"method=17,sloc=169",
go_cand_182,god_class,django\django\db\migrations\state.py,ModelState,711,988,339,"method=11,sloc=229",
go_cand_183,god_class,django\django\db\models\constraints.py,UniqueConstraint,128,371,338,"method=11,sloc=228",
go_cand_184,god_class,django\django\contrib\auth\management\commands\createsuperuser.py,Command,25,307,337,"method=8,sloc=257",
go_cand_185,god_class,django\django\db\backends\oracle\schema.py,DatabaseSchemaEditor,13,250,336,"method=14,sloc=196",
go_cand_186,god_class,django\django\core\cache\backends\db.py,DatabaseCache,42,293,335,"method=12,sloc=215",
go_cand_187,god_class,django\django\db\models\lookups.py,Lookup,20,186,333,"method=20,sloc=133",
go_cand_188,god_class,django\django\core\files\storage\filesystem.py,FileSystemStorage,19,207,332,"method=19,sloc=142",
go_cand_189,god_class,django\django\utils\autoreload.py,WatchmanReloader,431,637,328,"method=16,sloc=168",
go_cand_190,god_class,django\django\db\backends\sqlite3\base.py,DatabaseWrapper,53,303,325,"method=13,sloc=195",
go_cand_191,god_class,django\django\db\backends\oracle\base.py,DatabaseWrapper,106,352,324,"method=13,sloc=194",
go_cand_192,god_class,django\django\db\backends\base\introspection.py,BaseDatabaseIntrospection,14,212,323,"method=15,sloc=173",
go_cand_193,god_class,django\django\contrib\gis\db\backends\base\operations.py,BaseSpatialOperations,9,209,321,"method=16,sloc=161",
go_cand_194,god_class,django\django\contrib\gis\geoip2\base.py,GeoIP2,24,240,321,"method=16,sloc=161",
go_cand_195,god_class,django\django\core\mail\message.py,EmailMessage,191,430,320,"method=12,sloc=200",
go_cand_196,god_class,scikit-learn\sklearn\linear_model\_stochastic_gradient.py,BaseSGD,82,334,320,"method=10,sloc=220",
go_cand_197,god_class,scrapy\scrapy\pipelines\files.py,FilesPipeline,312,552,315,"method=11,sloc=205",
go_cand_198,god_class,django\django\template\engine.py,Engine,13,212,314,"method=14,sloc=174",
go_cand_199,god_class,django\django\http\request.py,QueryDict,477,645,313,"method=18,sloc=133",
go_cand_200,god_class,scikit-learn\sklearn\ensemble\_bagging.py,BaseBagging,240,538,313,"method=8,sloc=233",
go_cand_201,god_class,django\django\contrib\gis\geos\point.py,Point,9,162,310,"method=19,sloc=120",
go_cand_202,god_class,django\django\contrib\postgres\constraints.py,ExclusionConstraint,21,233,310,"method=11,sloc=200",
go_cand_203,god_class,scikit-learn\sklearn\utils\_mocking.py,CheckingClassifier,59,326,305,"method=8,sloc=225",
go_cand_204,god_class,django\django\contrib\admin\options.py,InlineModelAdmin,2285,2493,300,"method=13,sloc=170",
go_cand_205,god_class,django\django\db\models\query.py,RawQuerySet,1994,2144,299,"method=17,sloc=129",
go_cand_206,god_class,scikit-learn\sklearn\naive_bayes.py,_BaseDiscreteNB,518,770,299,"method=11,sloc=189",
go_cand_207,god_class,django\django\db\migrations\questioner.py,InteractiveMigrationQuestioner,90,288,298,"method=11,sloc=188",
go_cand_208,god_class,scikit-learn\sklearn\kernel_approximation.py,AdditiveChi2Sampler,576,863,297,"method=8,sloc=217",
go_cand_209,god_class,scikit-learn\sklearn\ensemble\_forest.py,ForestClassifier,740,1004,295,"method=8,sloc=215",
go_cand_210,god_class,scikit-learn\sklearn\preprocessing\_label.py,MultiLabelBinarizer,688,951,295,"method=8,sloc=215",
go_cand_211,god_class,django\django\core\files\storage\base.py,Storage,11,190,294,"method=15,sloc=144",
go_cand_212,god_class,django\django\contrib\gis\geos\polygon.py,Polygon,7,189,291,"method=15,sloc=141",
go_cand_213,god_class,scikit-learn\sklearn\utils\_pprint.py,_EstimatorPrettyPrinter,116,352,291,"method=8,sloc=211",
go_cand_214,god_class,scrapy\scrapy\http\request\__init__.py,Request,47,232,289,"method=13,sloc=159",
go_cand_215,god_class,django\django\contrib\syndication\views.py,Feed,29,234,287,"method=11,sloc=177",
go_cand_216,god_class,django\django\core\cache\backends\filebased.py,FileBasedCache,16,170,286,"method=15,sloc=136",
go_cand_217,god_class,django\django\dispatch\dispatcher.py,Signal,22,280,286,"method=9,sloc=196",
go_cand_218,god_class,click\src\click\parser.py,OptionParser,253,529,283,"method=10,sloc=183",
go_cand_219,god_class,django\django\db\models\indexes.py,Index,11,208,282,"method=10,sloc=182",
go_cand_220,god_class,django\django\db\models\manager.py,BaseManager,10,173,280,"method=16,sloc=120",
go_cand_221,god_class,django\django\template\base.py,Parser,436,606,278,"method=14,sloc=138",
go_cand_222,god_class,django\django\apps\config.py,AppConfig,13,274,276,"method=10,sloc=176",
go_cand_223,god_class,django\django\contrib\gis\gdal\envelope.py,Envelope,31,203,275,"method=13,sloc=145",
go_cand_224,god_class,scikit-learn\sklearn\gaussian_process\kernels.py,Exponentiation,996,1184,274,"method=12,sloc=154",
go_cand_225,god_class,scrapy\scrapy\core\downloader\handlers\http11.py,ScrapyAgent,294,519,274,"method=8,sloc=194",
go_cand_226,god_class,click\src\click\formatting.py,HelpFormatter,102,280,271,"method=12,sloc=151",
go_cand_227,god_class,django\django\db\models\fields\__init__.py,DecimalField,1623,1775,269,"method=13,sloc=139",
go_cand_228,god_class,scikit-learn\sklearn\utils\_metadata_requests.py,MethodMetadataRequest,282,484,268,"method=10,sloc=168",
go_cand_229,god_class,django\django\contrib\gis\geos\linestring.py,LineString,9,181,264,"method=13,sloc=134",
go_cand_230,god_class,django\django\contrib\gis\db\backends\oracle\operations.py,OracleOperations,56,245,263,"method=11,sloc=153",
go_cand_231,god_class,django\django\contrib\sitemaps\__init__.py,Sitemap,61,233,261,"method=13,sloc=131",
go_cand_232,god_class,scikit-learn\sklearn\decomposition\_nmf.py,_BaseNMF,1138,1361,261,"method=8,sloc=181",
go_cand_233,god_class,django\django\contrib\sessions\backends\file.py,SessionStore,18,210,259,"method=12,sloc=139",
go_cand_234,god_class,scrapy\scrapy\pipelines\images.py,ImagesPipeline,41,231,257,"method=10,sloc=157",
go_cand_235,god_class,django\django\contrib\gis\db\backends\spatialite\schema.py,SpatialiteSchemaEditor,5,191,246,"method=9,sloc=156",
go_cand_236,god_class,django\django\db\migrations\migration.py,Migration,9,222,245,"method=9,sloc=155",
go_cand_237,god_class,flask\src\flask\sessions.py,SessionInterface,112,274,244,"method=12,sloc=124",
go_cand_238,god_class,django\django\db\models\fields\json.py,JSONField,24,166,242,"method=12,sloc=122",
go_cand_239,god_class,django\django\contrib\auth\admin.py,UserAdmin,44,230,241,"method=8,sloc=161",
go_cand_240,god_class,django\django\db\models\fields\related_descriptors.py,ForwardManyToOneDescriptor,115,334,241,"method=9,sloc=151",
go_cand_241,god_class,django\django\forms\models.py,BaseModelForm,333,550,240,"method=8,sloc=160",
go_cand_242,god_class,django\django\utils\feedgenerator.py,SyndicationFeed,59,212,239,"method=10,sloc=139",
go_cand_243,god_class,django\django\views\debug.py,SafeExceptionReporterFilter,106,289,239,"method=9,sloc=149",
go_cand_244,god_class,django\django\utils\translation\trans_real.py,DjangoTranslation,129,283,238,"method=11,sloc=128",
go_cand_245,god_class,django\django\contrib\admin\helpers.py,InlineAdminFormSet,305,460,236,"method=9,sloc=146",
