sample_id,label,language,type,repository,commit_hash,path,method_name,start_line,param_count
4612119,long_parameter_list,java,function,git@github.com:apache/flink.git,8068c8775ad067d75828e6360e7e0994348da9b9,/flink-runtime/src/main/java/org/apache/flink/runtime/taskexecutor/TaskExecutor.java,TaskExecutor,212,9
8841762,long_parameter_list,java,function,git@github.com:apache/airavata.git,391843a00eefa7b6213e845f2f044b4e042894d5,/modules/sharing-registry/sharing-registry-stubs/src/main/java/org/apache/airavata/sharing/registry/service/cpi/SharingRegistryService.java,getGroupMembersOfTypeUser_call,2686,8
9219509,long_parameter_list,java,function,git@github.com:SAP/SapMachine.git,6e62561730c46dc5000c39665c43951832192ceb,/src/java.desktop/share/classes/javax/swing/SwingUtilities.java,layoutCompoundLabel,959,12
9421769,long_parameter_list,java,function,git@github.com:SAP/SapMachine.git,6e62561730c46dc5000c39665c43951832192ceb,/src/jdk.compiler/share/classes/com/sun/tools/javac/tree/TreeMaker.java,MethodDef,176,8
8775243,long_parameter_list,java,function,git@github.com:apache/hadoop-common.git,42a61a4fbc88303913c4681f0d40ffcc737e70b5,/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/ChecksumFileSystem.java,create,430,8
9008466,long_parameter_list,java,function,git@github.com:apache/lucene-solr.git,bca22d58e2d126ec6d349d375d3ea028892104e1,/solr/core/src/java/org/apache/solr/util/SolrCLI.java,ReplicaHealth,1355,8
7268054,long_parameter_list,java,function,git@github.com:oracle/visualvm.git,d9b10575b53d535e10c6e8c41831ebe38483c65b,/visualvm/libs.profiler/profiler.snaptracer/src/org/graalvm/visualvm/lib/profiler/snaptracer/impl/timeline/DiscreteXYPainter.java,DiscreteXYPainter,86,9
4140914,long_parameter_list,java,function,git@github.com:apache/calcite.git,a648f9c12309cc253628930b0cab98591caa66ab,/core/src/main/java/org/apache/calcite/jdbc/CalciteSchema.java,CalciteSchema,72,11
3929567,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TabletClientService.java,startScan,31,16
5991563,long_parameter_list,java,function,git@github.com:aws/aws-sdk-java-v2.git,1d5d11e8087c93ab1a3a2d35193052e526fd123c,/codegen/src/main/java/software/amazon/awssdk/codegen/model/intermediate/IntermediateModel.java,IntermediateModel,71,9
3822072,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/server/tserver/src/main/java/org/apache/accumulo/tserver/tablet/Compactor.java,Compactor,148,10
9171873,long_parameter_list,java,function,git@github.com:eclipse/birt.git,f89264810347de98702db45386a822aabc0fadbf,/engine/org.eclipse.birt.report.engine.emitter.postscript/src/org/eclipse/birt/report/engine/emitter/postscript/PostscriptWriter.java,drawBackgroundImage,469,11
6207209,long_parameter_list,java,function,git@github.com:eclipse/che.git,c5498c2ac562cd8a2fc79a6bb0446d291f05a201,/ide/che-core-ide-app/src/main/java/org/eclipse/che/ide/command/editor/CommandEditor.java,CommandEditor,82,16
8567234,long_parameter_list,java,function,git@github.com:apache/hbase.git,44f8abd5c65c59e9d09f6ad14b3c825f145d8e4f,/hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift/generated/Hbase.java,get_call,2298,8
8845708,long_parameter_list,java,function,git@github.com:apache/airavata.git,391843a00eefa7b6213e845f2f044b4e042894d5,/modules/sharing-registry/sharing-registry-stubs/src/main/java/org/apache/airavata/sharing/registry/service/cpi/SharingRegistryService.java,getGroupMembersOfTypeUser_call,2686,8
3924473,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/core/src/main/java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,bulkImportFiles,101,8
4032154,long_parameter_list,java,function,git@github.com:apache/beam.git,a956ff77a8448e5f2c12f6695fec608348b5ab60,/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms/ApproximateQuantiles.java,QuantileState,359,8
7475455,long_parameter_list,java,function,git@github.com:oracle/graal.git,4deb681aaaa79c248115037fc8e399c9876619fd,/compiler/src/org.graalvm.compiler.hotspot.aarch64/src/org/graalvm/compiler/hotspot/aarch64/AArch64HotSpotLIRGenerator.java,emitCompareBranch,219,8
3930845,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,compactTable,45,8
6857899,long_parameter_list,java,function,git@github.com:google/binnavi.git,8e0aef41402db6c6ecb2a26bb943bbbc5fd989b2,/src/main/java/com/google/security/zynamics/reil/translators/x86/Helpers.java,writeBack,1713,8
5127922,long_parameter_list,java,function,git@github.com:apache/maven-indexer.git,8fcb8551345c78871a6adbc0f7238ccd408178d3,/indexer-core/src/main/java/org/apache/maven/index/context/DefaultIndexingContext.java,DefaultIndexingContext,119,9
8855150,long_parameter_list,java,function,git@github.com:apache/airavata.git,391843a00eefa7b6213e845f2f044b4e042894d5,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,getExperimentStatistics,3124,8
9102455,long_parameter_list,java,function,git@github.com:oracle/fastr.git,a1ee49060317621c0c9eceea8ec60040aca59b2d,/com.oracle.truffle.r.nodes.builtin/src/com/oracle/truffle/r/nodes/builtin/fastr/FastRTrace.java,trace,130,8
4276035,long_parameter_list,java,function,git@github.com:apache/commons-math.git,f3719d89ab6a928e8618bbe6a7da8214d9d6eb07,/src/main/java/org/apache/commons/math4/ode/nonstiff/AdamsFieldStepInterpolator.java,AdamsFieldStepInterpolator,70,8
7138422,long_parameter_list,java,function,git@github.com:linkedin/rest.li.git,ad74aa98da8a55ad9c339d0769a3e8fb495765af,/restli-client/src/main/java/com/linkedin/restli/client/OptionsRequest.java,OptionsRequest,36,8
4583764,long_parameter_list,java,function,git@github.com:apache/fop.git,caced35327f6b6d6eeac2a13543f3c458e902101,/fop-core/src/main/java/org/apache/fop/layoutmgr/inline/TextLayoutManager.java,processWord,926,8
4580142,long_parameter_list,java,function,git@github.com:apache/fop.git,caced35327f6b6d6eeac2a13543f3c458e902101,/fop-core/src/main/java/org/apache/fop/layoutmgr/BalancingColumnBreakingAlgorithm.java,BalancingColumnBreakingAlgorithm,38,8
5445165,long_parameter_list,java,function,git@github.com:apache/pulsar.git,044daf8d61328265640a5b3e5008fc04fac73efa,/pulsar-client/src/main/java/org/apache/pulsar/client/impl/ConsumerImpl.java,newConsumerImpl,152,10
7182108,long_parameter_list,java,function,git@github.com:oracle/opengrok.git,bd2770a04a3eda7af19fae482d880d56cce0eeb9,/opengrok-indexer/src/main/java/org/opengrok/indexer/analysis/CtagsReader.java,addTag,386,9
8901898,long_parameter_list,java,function,git@github.com:apache/hive.git,2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53,/llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/OrcEncodedDataReader.java,OrcEncodedDataReader,187,12
8756041,long_parameter_list,java,function,git@github.com:apache/hadoop-common.git,42a61a4fbc88303913c4681f0d40ffcc737e70b5,/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/monitor/ContainersMonitorImpl.java,formatErrorMessage,483,8
