sample_id,proposed_label,final_label,source_file,unit_name,start_line,end_line,annotator
go_cand_028,god_class,god_class,click\src\click\core.py,Context,160,831,akbar_ts
go_cand_029,god_class,tidak,scikit-learn\sklearn\decomposition\_lda.py,LatentDirichletAllocation,163,929,akbar_ts
go_cand_030,god_class,god_class,django\django\forms\formsets.py,BaseFormSet,54,531,akbar_ts
go_cand_031,god_class,skip,django\django\db\migrations\state.py,ProjectState,93,578,akbar_ts
go_cand_032,god_class,tidak,django\django\db\backends\mysql\operations.py,DatabaseOperations,13,464,akbar_ts
go_cand_033,god_class,tidak,scikit-learn\sklearn\preprocessing\_encoders.py,OneHotEncoder,457,1231,akbar_ts
go_cand_034,god_class,tidak,django\django\db\backends\oracle\creation.py,DatabaseCreation,12,464,akbar_ts
go_cand_035,god_class,tidak,django\django\db\backends\sqlite3\operations.py,DatabaseOperations,18,434,akbar_ts
go_cand_036,god_class,god_class,flask\src\flask\sansio\scaffold.py,Scaffold,52,698,akbar_ts
go_cand_037,god_class,tidak,scikit-learn\sklearn\neural_network\_multilayer_perceptron.py,BaseMultilayerPerceptron,56,761,akbar_ts
go_cand_038,god_class,god_class,django\django\contrib\admin\sites.py,AdminSite,37,590,akbar_ts
go_cand_039,god_class,god_class,django\django\forms\forms.py,BaseForm,56,530,akbar_ts
go_cand_040,god_class,tidak,scikit-learn\sklearn\svm\_base.py,BaseLibSVM,65,683,akbar_ts
go_cand_041,god_class,god_class,scrapy\scrapy\settings\__init__.py,BaseSettings,88,526,akbar_ts
go_cand_042,god_class,god_class,django\django\db\models\fields\related_descriptors.py,ManyRelatedManager,986,1504,akbar_ts
go_cand_043,god_class,god_class,django\django\contrib\sessions\backends\base.py,SessionBase,33,365,akbar_ts
go_cand_044,god_class,god_class,django\django\contrib\admin\options.py,BaseModelAdmin,117,611,akbar_ts
go_cand_045,god_class,tidak,django\django\db\backends\postgresql\operations.py,DatabaseOperations,25,404,akbar_ts
go_cand_046,god_class,tidak,django\django\core\cache\backends\base.py,BaseCache,56,388,akbar_ts
go_cand_047,god_class,god_class,flask\src\flask\sansio\blueprints.py,Blueprint,119,632,akbar_ts
go_cand_048,god_class,tidak,scikit-learn\sklearn\mixture\_base.py,BaseMixture,43,560,akbar_ts
go_cand_049,god_class,tidak,django\django\contrib\gis\utils\layermapping.py,LayerMapping,58,724,akbar_ts
go_cand_050,god_class,tidak,django\django\core\management\commands\makemessages.py,Command,208,783,akbar_ts
go_cand_051,god_class,skip,django\django\contrib\gis\gdal\raster\source.py,GDALRaster,70,541,akbar_ts
go_cand_052,god_class,tidak,scikit-learn\sklearn\linear_model\_linear_loss.py,LinearModelLoss,10,671,akbar_ts
go_cand_053,god_class,god_class,django\django\http\request.py,HttpRequest,51,423,akbar_ts
go_cand_054,god_class,tidak,django\django\db\backends\sqlite3\schema.py,DatabaseSchemaEditor,13,578,akbar_ts
go_cand_055,god_class,tidak,scikit-learn\sklearn\tree\_classes.py,BaseDecisionTree,95,690,akbar_ts
go_cand_056,god_class,tidak,django\django\contrib\gis\gdal\srs.py,SpatialReference,44,346,akbar_ts
go_cand_057,god_class,tidak,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\grower.py,TreeGrower,138,720,akbar_ts
go_cand_058,god_class,tidak,django\django\contrib\admin\checks.py,ModelAdminChecks,790,1228,akbar_ts
go_cand_059,god_class,tidak,scikit-learn\sklearn\ensemble\_gb.py,GradientBoostingClassifier,1117,1719,akbar_ts
go_cand_060,god_class,tidak,scikit-learn\sklearn\ensemble\_weight_boosting.py,AdaBoostClassifier,339,960,akbar_ts
go_cand_061,god_class,god_class,django\django\db\models\expressions.py,BaseExpression,169,477,akbar_ts
go_cand_062,god_class,tidak,django\django\db\backends\mysql\features.py,DatabaseFeatures,7,355,akbar_ts
go_cand_063,god_class,tidak,scikit-learn\sklearn\base.py,BaseEstimator,152,700,akbar_ts
go_cand_064,god_class,god_class,django\django\contrib\admin\views\main.py,ChangeList,54,585,akbar_ts
go_cand_065,god_class,god_class,django\django\db\models\fields\related.py,ForeignObject,513,887,akbar_ts
go_cand_066,god_class,tidak,scikit-learn\sklearn\decomposition\_nmf.py,MiniBatchNMF,1804,2443,akbar_ts
go_cand_067,god_class,tidak,scikit-learn\sklearn\feature_extraction\text.py,CountVectorizer,929,1492,akbar_ts
go_cand_068,god_class,god_class,django\django\db\models\fields\related.py,RelatedField,89,510,akbar_ts
go_cand_069,god_class,tidak,scikit-learn\sklearn\decomposition\_pca.py,PCA,122,747,akbar_ts
go_cand_070,god_class,tidak,scikit-learn\sklearn\discriminant_analysis.py,LinearDiscriminantAnalysis,177,755,akbar_ts
go_cand_071,god_class,tidak,scikit-learn\sklearn\manifold\_t_sne.py,TSNE,562,1174,akbar_ts
go_cand_072,god_class,tidak,scikit-learn\sklearn\decomposition\_dict_learning.py,MiniBatchDictionaryLearning,1706,2301,akbar_ts
go_cand_073,god_class,tidak,scikit-learn\sklearn\linear_model\_stochastic_gradient.py,SGDOneClassSVM,2043,2605,akbar_ts
go_cand_074,god_class,tidak,scikit-learn\sklearn\linear_model\_ridge.py,_RidgeGCV,1602,2127,akbar_ts
go_cand_075,god_class,skip,click\src\click\core.py,Parameter,2012,2446,akbar_ts
go_cand_076,god_class,tidak,scrapy\scrapy\core\engine.py,ExecutionEngine,85,478,akbar_ts
go_cand_077,god_class,tidak,scikit-learn\sklearn\preprocessing\_target_encoder.py,TargetEncoder,18,531,akbar_ts
go_cand_078,god_class,tidak,scikit-learn\sklearn\neighbors\_lof.py,LocalOutlierFactor,20,516,akbar_ts
go_cand_079,god_class,tidak,scikit-learn\sklearn\pipeline.py,FeatureUnion,1322,1728,akbar_ts
go_cand_080,god_class,tidak,scikit-learn\sklearn\impute\_base.py,SimpleImputer,146,713,akbar_ts
go_cand_081,god_class,tidak,click\src\click\core.py,Option,2449,2966,akbar_ts
go_cand_082,god_class,tidak,scikit-learn\sklearn\decomposition\_kernel_pca.py,KernelPCA,32,572,akbar_ts
go_cand_083,god_class,tidak,django\django\contrib\gis\geos\mutable_list.py,ListMixin,15,314,akbar_ts
go_cand_084,god_class,tidak,scikit-learn\sklearn\ensemble\_forest.py,BaseForest,211,721,akbar_ts
go_cand_085,god_class,god_class,scrapy\scrapy\commands\parse.py,Command,24,354,akbar_ts
go_cand_086,god_class,god_class,requests\requests\sessions.py,Session,357,818,akbar_ts
go_cand_087,god_class,tidak,django\django\db\models\deletion.py,Collector,96,522,akbar_ts
go_cand_088,god_class,tidak,django\django\contrib\gis\geos\coordseq.py,GEOSCoordSeq,15,220,akbar_ts
go_cand_089,god_class,god_class,django\django\forms\boundfield.py,BoundField,14,302,akbar_ts
go_cand_090,god_class,tidak,django\django\core\management\commands\makemigrations.py,Command,26,515,akbar_ts
go_cand_091,god_class,tidak,django\django\db\backends\postgresql\schema.py,DatabaseSchemaEditor,7,388,akbar_ts
go_cand_092,god_class,tidak,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\gradient_boosting.py,HistGradientBoostingClassifier,1801,2270,akbar_ts
go_cand_093,god_class,god_class,django\django\db\models\fields\related.py,ForeignKey,899,1191,akbar_ts
go_cand_094,god_class,god_class,django\django\apps\registry.py,Apps,13,433,akbar_ts
go_cand_095,god_class,god_class,django\django\urls\resolvers.py,URLResolver,456,828,akbar_ts
go_cand_096,god_class,skip,django\django\core\management\base.py,BaseCommand,183,606,akbar_ts
go_cand_097,god_class,tidak,scikit-learn\sklearn\ensemble\_iforest.py,IsolationForest,28,526,akbar_ts
go_cand_098,god_class,god_class,scrapy\scrapy\core\http2\protocol.py,H2ClientProtocol,76,422,akbar_ts
go_cand_099,god_class,god_class,requests\requests\models.py,Response,641,1034,akbar_ts
go_cand_100,god_class,tidak,scikit-learn\sklearn\_loss\loss.py,BaseLoss,66,508,akbar_ts
go_cand_101,god_class,god_class,django\django\contrib\gis\db\backends\postgis\operations.py,PostGISOperations,115,423,akbar_ts
go_cand_102,god_class,tidak,django\django\db\backends\base\creation.py,BaseDatabaseCreation,17,381,akbar_ts
go_cand_103,god_class,tidak,requests\requests\adapters.py,HTTPAdapter,100,538,akbar_ts
go_cand_104,god_class,tidak,django\django\db\models\sql\where.py,WhereNode,19,311,akbar_ts
go_cand_105,god_class,tidak,scikit-learn\sklearn\neural_network\_multilayer_perceptron.py,MLPClassifier,764,1254,akbar_ts
go_cand_106,god_class,tidak,django\django\db\backends\oracle\introspection.py,DatabaseIntrospection,17,411,akbar_ts
go_cand_107,god_class,tidak,scikit-learn\sklearn\gaussian_process\kernels.py,Kernel,156,464,akbar_ts
go_cand_108,god_class,tidak,scikit-learn\sklearn\neural_network\_rbm.py,BernoulliRBM,29,453,akbar_ts
go_cand_109,god_class,tidak,django\django\db\backends\mysql\base.py,DatabaseWrapper,100,444,akbar_ts
go_cand_110,god_class,tidak,scikit-learn\sklearn\mixture\_gaussian_mixture.py,GaussianMixture,510,912,akbar_ts
go_cand_111,god_class,god_class,django\django\db\models\fields\reverse_related.py,ForeignObjectRel,20,244,akbar_ts
fe_cand_000,feature_envy,tidak,django\django\db\models\base.py,__new__,95,367,akbar_ts
fe_cand_001,feature_envy,feature_envy,scikit-learn\examples\applications\svm_gui.py,__init__,271,350,akbar_ts
fe_cand_002,feature_envy,tidak,click\src\click\testing.py,isolation,207,347,akbar_ts
fe_cand_003,feature_envy,tidak,django\django\contrib\admindocs\views.py,get_context_data,216,392,akbar_ts
fe_cand_004,feature_envy,tidak,django\django\core\management\commands\dumpdata.py,handle,103,281,akbar_ts
fe_cand_005,feature_envy,tidak,django\django\core\management\commands\inspectdb.py,handle_inspection,54,263,akbar_ts
fe_cand_006,feature_envy,tidak,scikit-learn\sklearn\preprocessing\_polynomial.py,transform,944,1162,akbar_ts
fe_cand_007,feature_envy,feature_envy,django\django\core\serializers\xml_serializer.py,_handle_object,215,290,akbar_ts
fe_cand_008,feature_envy,feature_envy,django\django\contrib\contenttypes\admin.py,_check_relation,21,88,akbar_ts
fe_cand_009,feature_envy,tidak,django\django\forms\models.py,__new__,261,330,akbar_ts
fe_cand_010,feature_envy,feature_envy,django\django\contrib\sessions\middleware.py,process_response,22,77,akbar_ts
fe_cand_011,feature_envy,tidak,requests\requests\sessions.py,resolve_redirects,159,281,akbar_ts
fe_cand_012,feature_envy,tidak,click\src\click\testing.py,invoke,349,448,akbar_ts
fe_cand_013,feature_envy,tidak,scikit-learn\setup.py,run,71,97,akbar_ts
fe_cand_014,feature_envy,tidak,django\django\contrib\humanize\templatetags\humanize.py,string_for,285,325,akbar_ts
fe_cand_015,feature_envy,tidak,django\django\contrib\postgres\apps.py,ready,56,84,akbar_ts
fe_cand_016,feature_envy,tidak,django\django\core\management\commands\inspectdb.py,normalize_col_name,265,323,akbar_ts
fe_cand_017,feature_envy,tidak,django\django\middleware\gzip.py,process_response,18,74,akbar_ts
fe_cand_018,feature_envy,tidak,scikit-learn\sklearn\metrics\_pairwise_distances_reduction\_dispatcher.py,compute,480,614,akbar_ts
fe_cand_019,feature_envy,tidak,scikit-learn\sklearn\metrics\_pairwise_distances_reduction\_dispatcher.py,compute,648,764,akbar_ts
fe_cand_020,feature_envy,feature_envy,django\django\db\migrations\operations\models.py,database_forwards,435,481,akbar_ts
fe_cand_021,feature_envy,tidak,django\django\db\models\aggregates.py,resolve_expression,60,102,akbar_ts
fe_cand_022,feature_envy,feature_envy,django\django\utils\feedgenerator.py,add_item_elements,392,442,akbar_ts
fe_cand_023,feature_envy,feature_envy,scikit-learn\sklearn\tree\_export.py,node_to_str,288,399,akbar_ts
fe_cand_024,feature_envy,tidak,click\src\click\_termui_impl.py,edit,525,570,akbar_ts
fe_cand_025,feature_envy,tidak,django\django\core\management\commands\inspectdb.py,get_field_type,325,364,akbar_ts
fe_cand_026,feature_envy,tidak,django\django\core\management\commands\optimizemigration.py,handle,32,129,akbar_ts
fe_cand_027,feature_envy,tidak,django\django\db\models\base.py,_prepare,375,428,akbar_ts
fe_cand_028,feature_envy,feature_envy,django\django\utils\feedgenerator.py,add_item_elements,285,338,akbar_ts
fe_cand_029,feature_envy,tidak,flask\src\flask\views.py,as_view,86,135,akbar_ts
fe_cand_030,feature_envy,tidak,scikit-learn\sklearn\linear_model\_coordinate_descent.py,fit,1525,1804,akbar_ts
fe_cand_031,feature_envy,feature_envy,scrapy\scrapy\commands\settings.py,run,47,62,akbar_ts
fe_cand_032,feature_envy,feature_envy,scrapy\scrapy\extensions\corestats.py,from_crawler,15,22,akbar_ts
fe_cand_033,feature_envy,tidak,django\django\contrib\contenttypes\management\commands\remove_stale_contenttypes.py,handle,34,102,akbar_ts
fe_cand_034,feature_envy,tidak,django\django\core\management\__init__.py,autocomplete,278,351,akbar_ts
fe_cand_035,feature_envy,tidak,scikit-learn\sklearn\feature_selection\_base.py,inverse_transform,133,171,akbar_ts
fe_cand_036,feature_envy,tidak,django\django\core\files\storage\memory.py,resolve,94,139,akbar_ts
fe_cand_037,feature_envy,skip,requests\requests\sessions.py,should_strip_auth,127,157,akbar_ts
fe_cand_038,feature_envy,tidak,scrapy\scrapy\commands\check.py,run,69,108,akbar_ts
fe_cand_039,feature_envy,feature_envy,scrapy\scrapy\downloadermiddlewares\httpproxy.py,_set_proxy_and_creds,64,83,akbar_ts
fe_cand_040,feature_envy,tidak,django\django\db\backends\postgresql\client.py,settings_to_cmd_args_env,10,54,akbar_ts
fe_cand_041,feature_envy,skip,scikit-learn\sklearn\tree\_export.py,export,636,681,akbar_ts
fe_cand_042,feature_envy,tidak,scrapy\scrapy\downloadermiddlewares\redirect.py,process_response,126,153,akbar_ts
fe_cand_043,feature_envy,feature_envy,scrapy\scrapy\extensions\periodic_log.py,from_crawler,38,73,akbar_ts
fe_cand_044,feature_envy,tidak,django\django\contrib\gis\management\commands\ogrinspect.py,add_arguments,44,109,akbar_ts
fe_cand_045,feature_envy,tidak,django\django\contrib\staticfiles\finders.py,check,74,114,akbar_ts
fe_cand_046,feature_envy,tidak,django\django\core\serializers\json.py,default,83,106,akbar_ts
fe_cand_047,feature_envy,feature_envy,django\django\db\backends\postgresql\introspection.py,get_table_description,81,127,akbar_ts
fe_cand_048,feature_envy,tidak,django\django\db\models\fields\__init__.py,to_python,1523,1571,akbar_ts
fe_cand_049,feature_envy,feature_envy,django\django\db\models\fields\__init__.py,validators,2014,2046,akbar_ts
fe_cand_050,feature_envy,feature_envy,scikit-learn\sklearn\tree\_export.py,get_fill_color,262,286,akbar_ts
fe_cand_051,feature_envy,feature_envy,scrapy\scrapy\downloadermiddlewares\redirect.py,_redirect,80,106,akbar_ts
fe_cand_052,feature_envy,tidak,django\django\contrib\admin\views\autocomplete.py,process_request,66,118,akbar_ts
fe_cand_053,feature_envy,tidak,django\django\contrib\admindocs\views.py,get_context_data,68,99,akbar_ts
fe_cand_054,feature_envy,tidak,django\django\contrib\admindocs\views.py,get_context_data,105,138,akbar_ts
fe_cand_055,feature_envy,tidak,django\django\core\management\commands\migrate.py,add_arguments,23,94,akbar_ts
fe_cand_056,feature_envy,tidak,django\django\core\management\commands\migrate.py,sync_apps,432,487,akbar_ts
fe_cand_057,feature_envy,feature_envy,django\django\core\serializers\xml_serializer.py,_handle_fk_field_node,292,331,akbar_ts
fe_cand_058,feature_envy,tidak,django\django\db\utils.py,configure_settings,147,182,akbar_ts
fe_cand_059,feature_envy,feature_envy,flask\src\flask\testing.py,__init__,48,86,akbar_ts
fe_cand_060,feature_envy,tidak,scikit-learn\doc\sphinxext\allow_nan_estimators.py,make_paragraph_for_estimator_type,13,37,akbar_ts
fe_cand_061,feature_envy,tidak,scikit-learn\sklearn\linear_model\_bayes.py,_update_sigma_woodbury,798,814,akbar_ts
fe_cand_062,feature_envy,tidak,scikit-learn\sklearn\metrics\_pairwise_distances_reduction\_dispatcher.py,is_usable_for,84,142,akbar_ts
fe_cand_063,feature_envy,tidak,scikit-learn\sklearn\neighbors\_nca.py,_loss_grad_lbfgs,450,522,akbar_ts
fe_cand_064,feature_envy,tidak,scikit-learn\sklearn\preprocessing\_polynomial.py,transform,401,576,akbar_ts
fe_cand_065,feature_envy,feature_envy,scrapy\scrapy\downloadermiddlewares\httpcompression.py,from_crawler,52,69,akbar_ts
fe_cand_066,feature_envy,tidak,django\django\contrib\gis\management\commands\ogrinspect.py,handle,111,164,akbar_ts
fe_cand_067,feature_envy,tidak,django\django\core\management\commands\dumpdata.py,add_arguments,36,101,akbar_ts
fe_cand_068,feature_envy,tidak,django\django\core\management\commands\shell.py,python,57,112,akbar_ts
fe_cand_069,feature_envy,tidak,django\django\core\management\commands\showmigrations.py,show_plan,134,176,akbar_ts
fe_cand_070,feature_envy,feature_envy,django\django\core\serializers\xml_serializer.py,_handle_m2m_field_node,333,371,akbar_ts
fe_cand_071,feature_envy,tidak,django\django\db\backends\postgresql\base.py,callproc,450,464,akbar_ts
fe_cand_072,feature_envy,feature_envy,django\django\db\migrations\operations\models.py,database_forwards,555,573,akbar_ts
fe_cand_073,feature_envy,feature_envy,django\django\db\migrations\operations\models.py,database_forwards,739,763,akbar_ts
fe_cand_074,feature_envy,tidak,django\django\db\models\functions\datetime.py,resolve_expression,283,338,akbar_ts
fe_cand_075,feature_envy,tidak,django\django\templatetags\i18n.py,render_token_list,134,146,akbar_ts
fe_cand_076,feature_envy,tidak,flask\src\flask\cli.py,command,399,413,akbar_ts
fe_cand_077,feature_envy,tidak,scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,parseImpl,3438,3473,akbar_ts
fe_cand_078,feature_envy,tidak,scikit-learn\sklearn\metrics\_pairwise_distances_reduction\_dispatcher.py,compute,186,304,akbar_ts
fe_cand_079,feature_envy,tidak,scikit-learn\sklearn\metrics\_pairwise_distances_reduction\_dispatcher.py,compute,324,450,akbar_ts
fe_cand_080,feature_envy,feature_envy,scrapy\scrapy\downloadermiddlewares\offsite.py,get_host_regex,51,77,akbar_ts
fe_cand_081,feature_envy,feature_envy,scrapy\scrapy\spidermiddlewares\offsite.py,get_host_regex,65,91,akbar_ts
fe_cand_082,feature_envy,tidak,click\src\click\testing.py,isolated_filesystem,451,479,akbar_ts
fe_cand_083,feature_envy,tidak,click\src\click\types.py,convert,203,220,akbar_ts
fe_cand_084,feature_envy,feature_envy,django\django\contrib\contenttypes\management\__init__.py,_rename,12,37,akbar_ts
fe_cand_085,feature_envy,tidak,django\django\contrib\redirects\middleware.py,process_response,23,50,akbar_ts
fe_cand_086,feature_envy,tidak,django\django\db\migrations\optimizer.py,optimize_inner,40,69,akbar_ts
fe_cand_087,feature_envy,tidak,django\django\forms\fields.py,to_python,699,740,akbar_ts
fe_cand_088,feature_envy,tidak,django\django\forms\forms.py,__new__,28,53,akbar_ts
fe_cand_089,feature_envy,tidak,django\django\forms\widgets.py,format_value,1134,1157,akbar_ts
fe_cand_090,feature_envy,tidak,django\django\middleware\locale.py,process_response,38,80,akbar_ts
fe_cand_091,feature_envy,tidak,django\django\template\backends\jinja2.py,__init__,17,35,akbar_ts
fe_cand_092,feature_envy,skip,django\django\utils\log.py,emit,94,128,akbar_ts
fe_cand_093,feature_envy,tidak,flask\src\flask\cli.py,get_command,597,622,akbar_ts
fe_cand_094,feature_envy,feature_envy,flask\src\flask\testing.py,session_transaction,136,183,akbar_ts
fe_cand_095,feature_envy,tidak,scikit-learn\sklearn\gaussian_process\_gpc.py,log_marginal_likelihood,335,412,akbar_ts
fe_cand_096,feature_envy,tidak,scikit-learn\sklearn\gaussian_process\kernels.py,__call__,2035,2096,akbar_ts
fe_cand_097,feature_envy,feature_envy,scrapy\scrapy\contracts\__init__.py,_clean_req,158,178,akbar_ts
fe_cand_098,feature_envy,feature_envy,scrapy\scrapy\downloadermiddlewares\httpcache.py,from_crawler,52,59,akbar_ts
fe_cand_099,feature_envy,tidak,scrapy\scrapy\downloadermiddlewares\httpcompression.py,process_response,80,126,akbar_ts
fe_cand_100,feature_envy,tidak,scrapy\scrapy\extensions\httpcache.py,store_response,317,340,akbar_ts
fe_cand_101,feature_envy,tidak,click\examples\aliases\aliases.py,get_command,42,68,akbar_ts
fe_cand_102,feature_envy,tidak,click\src\click\types.py,convert,700,741,akbar_ts
fe_cand_103,feature_envy,tidak,django\django\contrib\admin\checks.py,_check_exclude_of_parent_model,1244,1273,akbar_ts
fe_cand_104,feature_envy,tidak,django\django\contrib\gis\sitemaps\kml.py,_build_kml_sources,20,51,akbar_ts
fe_cand_105,feature_envy,feature_envy,django\django\contrib\postgres\operations.py,database_forwards,21,41,akbar_ts
fe_cand_106,feature_envy,feature_envy,django\django\db\models\fields\json.py,resolve_expression_parameter,481,506,akbar_ts
fe_cand_107,feature_envy,feature_envy,django\django\db\models\fields\json.py,process_rhs,510,532,akbar_ts
fe_cand_108,feature_envy,tidak,django\django\db\models\query_utils.py,check,113,140,akbar_ts
fe_cand_109,feature_envy,tidak,django\django\middleware\locale.py,process_request,19,36,akbar_ts
fe_cand_110,feature_envy,tidak,django\django\template\loader_tags.py,render,131,157,akbar_ts
fe_cand_111,feature_envy,tidak,flask\src\flask\cli.py,convert,773,807,akbar_ts
fe_cand_112,feature_envy,feature_envy,requests\requests\sessions.py,rebuild_method,334,354,akbar_ts
fe_cand_113,feature_envy,feature_envy,scikit-learn\examples\applications\svm_gui.py,decision_surface,124,131,akbar_ts
fe_cand_114,feature_envy,tidak,scikit-learn\sklearn\gaussian_process\kernels.py,__call__,1530,1587,akbar_ts
fe_cand_115,feature_envy,tidak,scikit-learn\sklearn\linear_model\_bayes.py,_update_coef_,429,450,akbar_ts
fe_cand_116,feature_envy,tidak,scikit-learn\sklearn\linear_model\_glm\glm.py,score,367,440,akbar_ts
fe_cand_117,feature_envy,tidak,scikit-learn\sklearn\naive_bayes.py,_update_mean_variance,272,343,akbar_ts
fe_cand_118,feature_envy,tidak,scikit-learn\sklearn\preprocessing\_polynomial.py,_get_base_knot_positions,734,778,akbar_ts
fe_cand_119,feature_envy,feature_envy,scrapy\scrapy\core\downloader\__init__.py,_process_queue,162,188,akbar_ts
fe_cand_120,feature_envy,feature_envy,scrapy\scrapy\extensions\logstats.py,from_crawler,21,28,akbar_ts
fe_cand_121,feature_envy,tidak,scrapy\scrapy\utils\serialize.py,default,16,35,akbar_ts
fe_cand_122,feature_envy,tidak,django\django\contrib\gis\geos\geometry.py,__init__,714,771,akbar_ts
fe_cand_123,feature_envy,tidak,django\django\core\management\__init__.py,fetch_command,246,276,akbar_ts
fe_cand_124,feature_envy,tidak,django\django\core\management\commands\migrate.py,describe_operation,490,511,akbar_ts
fe_cand_125,feature_envy,tidak,django\django\db\backends\mysql\client.py,runshell,64,72,akbar_ts
fe_cand_126,feature_envy,tidak,django\django\db\backends\mysql\creation.py,_clone_db,62,87,akbar_ts
fe_cand_127,feature_envy,tidak,django\django\db\backends\mysql\validation.py,check_field_type,38,77,akbar_ts
fe_cand_128,feature_envy,tidak,django\django\db\backends\oracle\base.py,_output_type_handler,453,485,akbar_ts
fe_cand_129,feature_envy,tidak,django\django\db\backends\oracle\utils.py,from_datetime,51,60,akbar_ts
fe_cand_130,feature_envy,tidak,django\django\db\backends\postgresql\client.py,runshell,56,64,akbar_ts
fe_cand_131,feature_envy,tidak,django\django\db\migrations\questioner.py,ask_initial,27,55,akbar_ts
fe_cand_132,feature_envy,tidak,django\django\db\models\fields\__init__.py,to_python,1406,1434,akbar_ts
fe_cand_133,feature_envy,tidak,flask\src\flask\cli.py,group,415,423,akbar_ts
fe_cand_134,feature_envy,tidak,flask\src\flask\cli.py,list_commands,624,643,akbar_ts
fe_cand_135,feature_envy,feature_envy,flask\src\flask\debughelpers.py,__init__,57,78,akbar_ts
fe_cand_136,feature_envy,skip,scikit-learn\sklearn\gaussian_process\kernels.py,hyperparameters,715,736,akbar_ts
fe_cand_137,feature_envy,tidak,scikit-learn\sklearn\impute\_knn.py,_calc_impute,159,204,akbar_ts
fe_cand_138,feature_envy,tidak,scikit-learn\sklearn\preprocessing\_discretization.py,fit,207,342,akbar_ts
fe_cand_139,feature_envy,tidak,scikit-learn\sklearn\tree\_export.py,recurse,683,726,akbar_ts
fe_cand_140,feature_envy,tidak,scrapy\scrapy\commands\__init__.py,add_options,59,92,akbar_ts
fe_cand_141,feature_envy,tidak,scrapy\scrapy\core\downloader\handlers\datauri.py,download_request,12,21,akbar_ts
fe_cand_142,feature_envy,feature_envy,scrapy\scrapy\core\downloader\handlers\ftp.py,_build_response,107,113,akbar_ts
fe_cand_143,feature_envy,tidak,scrapy\scrapy\downloadermiddlewares\cookies.py,_format_cookie,101,130,akbar_ts
fe_cand_144,feature_envy,feature_envy,scrapy\scrapy\downloadermiddlewares\offsite.py,from_crawler,14,18,akbar_ts
