sample_id,label,language,source_file,function_name,start_line,end_line,metric
py_lo_0048,long_method,python,django\tests\migrations\test_autodetector.py,test_supports_functools_partial,1367,1460,84
py_lo_0049,long_method,python,django\tests\migrations\test_autodetector.py,test_rename_field_foreign_key_to_field,1535,1588,53
py_lo_0050,long_method,python,django\tests\migrations\test_autodetector.py,test_rename_foreign_object_fields,1590,1732,141
py_lo_0051,long_method,python,django\tests\migrations\test_autodetector.py,test_rename_field_preserved_db_column,1776,1831,56
py_lo_0052,long_method,python,django\tests\migrations\test_autodetector.py,test_rename_related_field_preserved_db_column,1833,1903,71
py_lo_0053,long_method,python,django\tests\migrations\test_autodetector.py,test_rename_model_reverse_relation_dependencies,2088,2142,55
py_lo_0054,long_method,python,django\tests\migrations\test_autodetector.py,test_empty_unique_together,2502,2563,53
py_lo_0055,long_method,python,django\tests\migrations\test_autodetector.py,test_alter_field_and_unique_together,2921,2992,71
py_lo_0056,long_method,python,django\tests\migrations\test_autodetector.py,test_set_alter_order_with_respect_to_index_constraint_unique_together,4053,4104,52
py_lo_0057,long_method,python,django\tests\migrations\test_autodetector.py,test_empty_index_together,4760,4821,53
py_lo_0058,long_method,python,django\tests\migrations\test_autodetector.py,test_alter_field_and_index_together,5050,5121,71
py_lo_0059,long_parameter_list,python,scikit-learn\sklearn\gaussian_process\_gpr.py,__init__,200,219,8
py_lo_0060,long_method,python,scikit-learn\sklearn\gaussian_process\_gpr.py,fit,222,361,111
py_lo_0061,long_method,python,scikit-learn\sklearn\gaussian_process\_gpr.py,predict,363,496,97
py_lo_0062,long_method,python,scikit-learn\sklearn\gaussian_process\_gpr.py,log_marginal_likelihood,537,652,66
py_lo_0063,long_method,python,django\django\db\backends\oracle\schema.py,_alter_field_type_workaround,103,168,53
py_lo_0064,long_method,python,scikit-learn\sklearn\tree\tests\test_tree.py,test_min_impurity_decrease,810,879,51
py_lo_0065,long_method,python,scikit-learn\sklearn\tree\tests\test_tree.py,test_explicit_sparse_zeros,1466,1538,56
py_lo_0066,long_method,python,scikit-learn\sklearn\tree\tests\test_tree.py,test_mae,1651,1748,79
py_lo_0067,long_parameter_list,python,scikit-learn\sklearn\externals\_scipy\sparse\csgraph\_laplacian.py,laplacian,20,369,8
py_lo_0068,long_method,python,scikit-learn\sklearn\utils\tests\test_sparsefuncs.py,test_incr_mean_variance_axis_weighted_axis1,157,222,56
py_lo_0069,long_method,python,scikit-learn\sklearn\utils\tests\test_sparsefuncs.py,test_incr_mean_variance_axis_weighted_axis0,254,319,56
py_lo_0070,long_parameter_list,python,scikit-learn\sklearn\utils\tests\test_sparsefuncs.py,test_min_max,777,805,8
py_lo_0071,long_parameter_list,python,scikit-learn\sklearn\manifold\tests\test_t_sne.py,_run_answer_test,653,679,8
py_lo_0072,long_parameter_list,python,scikit-learn\sklearn\cluster\_mean_shift.py,mean_shift,137,246,8
py_lo_0073,long_parameter_list,python,scikit-learn\sklearn\decomposition\_kernel_pca.py,__init__,278,313,16
py_lo_0074,long_parameter_list,python,scrapy\scrapy\mail.py,__init__,37,55,8
py_lo_0075,long_parameter_list,python,scrapy\scrapy\mail.py,send,69,138,8
py_lo_0076,long_parameter_list,python,django\django\db\models\sql\query.py,build_filter,1362,1527,9
py_lo_0077,long_parameter_list,python,django\django\db\models\sql\query.py,_add_q,1557,1591,8
py_lo_0078,long_parameter_list,python,scikit-learn\sklearn\manifold\_spectral_embedding.py,__init__,602,621,8
py_lo_0079,long_parameter_list,python,scikit-learn\sklearn\datasets\tests\test_openml.py,test_fetch_openml_as_frame_true,222,262,8
py_lo_0080,long_parameter_list,python,scikit-learn\sklearn\datasets\tests\test_openml.py,test_fetch_openml_types_inference,931,972,9
py_lo_0081,long_parameter_list,python,django\django\db\backends\base\schema.py,_alter_field,842,1186,8
py_lo_0082,long_parameter_list,python,django\django\db\backends\base\schema.py,_create_index_sql,1404,1456,12
py_lo_0083,long_parameter_list,python,django\django\db\backends\base\schema.py,_unique_sql,1591,1629,8
py_lo_0084,long_parameter_list,python,django\django\db\backends\base\schema.py,_create_unique_sql,1631,1682,8
py_lo_0085,long_parameter_list,python,django\django\db\backends\base\schema.py,_constraint_names,1749,1792,9
py_lo_0086,long_parameter_list,python,scikit-learn\sklearn\linear_model\_ransac.py,__init__,276,303,12
py_lo_0087,long_parameter_list,python,scikit-learn\sklearn\gaussian_process\_gpc.py,__init__,659,680,9
py_lo_0088,long_parameter_list,python,django\django\template\response.py,__init__,150,164,8
py_lo_0089,long_parameter_list,python,scikit-learn\sklearn\utils\extmath.py,randomized_svd,364,560,9
py_lo_0090,long_parameter_list,python,click\src\click\types.py,__init__,799,826,9
py_lo_0091,long_parameter_list,python,scikit-learn\sklearn\neighbors\_classification.py,__init__,193,214,8
py_lo_0092,long_parameter_list,python,scikit-learn\sklearn\neighbors\_classification.py,__init__,578,601,9
py_lo_0093,long_parameter_list,python,scrapy\scrapy\utils\deprecate.py,create_deprecated_class,20,128,9
py_lo_0094,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,_alpha_grid,96,185,8
py_lo_0095,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,lasso_path,205,376,12
py_lo_0096,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,enet_path,398,703,14
py_lo_0097,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,_path_residuals,1316,1455,12
py_lo_0098,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,876,901,11
py_lo_0099,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,1283,1309,10
py_lo_0100,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,1479,1509,14
py_lo_0101,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,2013,2046,14
py_lo_0102,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,2252,2285,15
py_lo_0103,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,2432,2453,9
py_lo_0104,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,2669,2689,8
py_lo_0105,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,2875,2904,13
py_lo_0106,long_parameter_list,python,scikit-learn\sklearn\linear_model\_coordinate_descent.py,__init__,3113,3142,12
py_lo_0107,long_parameter_list,python,scikit-learn\sklearn\manifold\_mds.py,_smacof_single,22,167,9
py_lo_0108,long_parameter_list,python,scikit-learn\sklearn\manifold\_mds.py,smacof,187,392,12
py_lo_0109,long_parameter_list,python,scikit-learn\sklearn\manifold\_mds.py,__init__,544,567,10
